submission_id,created_at,field_1,field_3,field_4,field_7,field_8,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24,field_25,field_26,field_27,field_28,field_29,field_30,field_31,field_32,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41,field_42,field_43,field_44,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54,field_55,field_56,field_57,field_58,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70,field_71
6524701146414644493,2026-04-20 00:55:14,"{'name': 'heading', 'order': '1', 'text': 'Consumables On Floor / Boilermakers  ', 'type': 'control_head'}","{'name': 'toolBox', 'order': '4', 'text': 'Tool Box Number ', 'type': 'control_dropdown'}",Riaan N,12,10,2,"{""day"": ""20"", ""month"": ""04"", ""year"": ""2026"", ""timeInput"": ""06:53"", ""hour"": ""06"", ""min"": ""53"", ""ampm"": ""AM"", ""datetime"": ""2026-04-20 06:53:00""}",10,12,0,6,2,50,100,9,3,12,0,11,1,10,0,10,0,8,0,6,0,2,0,2,0,2,0,50,0,100,0,100,0,https://www.jotform.com/uploads/Woolley_Brandon/260621145322041/6524701146414644493/6524701146414644493_signature_50.png,"{'name': 'submit', 'order': '62', 'text': 'Submit', 'type': 'control_button'}",30,"{'maxValue': '', 'name': 'aluFiller', 'order': '48', 'text': 'Alu Filler 3.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'aluFiller54', 'order': '49', 'text': 'Alu Filler 3.2  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller55', 'order': '50', 'text': 'MS Filler 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller56', 'order': '51', 'text': 'MS Filler 2.4  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss24', 'order': '52', 'text': 'Weld/308/SS 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss2458', 'order': '53', 'text': 'Weld/308/SS 2.4  Quantity to Refill', 'type': 'control_number'}",Marz,"{'maxValue': '', 'name': 'weldwire12', 'order': '54', 'text': 'Weldwire 1.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weldwire1261', 'order': '55', 'text': 'Weldwire 1.2  Quantity to Refill', 'type': 'control_number'}",10,0,6,0,2,0,2,0,2,0
6524699086416006560,2026-04-20 00:51:48,"{'name': 'heading', 'order': '1', 'text': 'Consumables On Floor / Boilermakers  ', 'type': 'control_head'}","{'name': 'toolBox', 'order': '4', 'text': 'Tool Box Number ', 'type': 'control_dropdown'}",Ruby,12,9,3,"{""day"": ""20"", ""month"": ""04"", ""year"": ""2026"", ""timeInput"": ""06:49"", ""hour"": ""06"", ""min"": ""49"", ""ampm"": ""AM"", ""datetime"": ""2026-04-20 06:49:00""}",10,13,0,6,2,50,100,8,4,13,0,11,1,13,0,10,0,66,0,6,0,2,0,2,0,2,0,50,0,100,0,100,0,https://www.jotform.com/uploads/Woolley_Brandon/260621145322041/6524699086416006560/6524699086416006560_signature_50.png,"{'name': 'submit', 'order': '62', 'text': 'Submit', 'type': 'control_button'}",30,"{'maxValue': '', 'name': 'aluFiller', 'order': '48', 'text': 'Alu Filler 3.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'aluFiller54', 'order': '49', 'text': 'Alu Filler 3.2  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller55', 'order': '50', 'text': 'MS Filler 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller56', 'order': '51', 'text': 'MS Filler 2.4  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss24', 'order': '52', 'text': 'Weld/308/SS 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss2458', 'order': '53', 'text': 'Weld/308/SS 2.4  Quantity to Refill', 'type': 'control_number'}",Marz,"{'maxValue': '', 'name': 'weldwire12', 'order': '54', 'text': 'Weldwire 1.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weldwire1261', 'order': '55', 'text': 'Weldwire 1.2  Quantity to Refill', 'type': 'control_number'}",10,0,6,0,2,0,2,0,2,0
6524697526415669885,2026-04-20 00:49:13,"{'name': 'heading', 'order': '1', 'text': 'Consumables On Floor / Boilermakers  ', 'type': 'control_head'}",MAC 03,Mfundo,12,9,3,"{""day"": ""20"", ""month"": ""04"", ""year"": ""2026"", ""timeInput"": ""06:46"", ""hour"": ""06"", ""min"": ""46"", ""ampm"": ""AM"", ""datetime"": ""2026-04-20 06:46:00""}",10,13,0,6,2,50,100,11,1,12,0,9,3,10,0,10,0,6,0,8,0,2,0,2,0,2,0,50,0,100,0,100,0,https://www.jotform.com/uploads/Woolley_Brandon/260621145322041/6524697526415669885/6524697526415669885_signature_50.png,"{'name': 'submit', 'order': '62', 'text': 'Submit', 'type': 'control_button'}",30,"{'maxValue': '', 'name': 'aluFiller', 'order': '48', 'text': 'Alu Filler 3.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'aluFiller54', 'order': '49', 'text': 'Alu Filler 3.2  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller55', 'order': '50', 'text': 'MS Filler 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller56', 'order': '51', 'text': 'MS Filler 2.4  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss24', 'order': '52', 'text': 'Weld/308/SS 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss2458', 'order': '53', 'text': 'Weld/308/SS 2.4  Quantity to Refill', 'type': 'control_number'}",Marz,"{'maxValue': '', 'name': 'weldwire12', 'order': '54', 'text': 'Weldwire 1.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weldwire1261', 'order': '55', 'text': 'Weldwire 1.2  Quantity to Refill', 'type': 'control_number'}",10,0,3,3,2,0,2,0,2,0
6524695686417033530,2026-04-20 00:46:09,"{'name': 'heading', 'order': '1', 'text': 'Consumables On Floor / Boilermakers  ', 'type': 'control_head'}",RAM 04,Wandile,12,12,0,"{""day"": ""20"", ""month"": ""04"", ""year"": ""2026"", ""timeInput"": ""06:43"", ""hour"": ""06"", ""min"": ""43"", ""ampm"": ""AM"", ""datetime"": ""2026-04-20 06:43:00""}",10,12,0,6,2,50,100,13,0,13,0,11,1,10,0,10,0,7,0,7,0,2,0,2,0,2,0,50,0,100,0,100,0,https://www.jotform.com/uploads/Woolley_Brandon/260621145322041/6524695686417033530/6524695686417033530_signature_50.png,"{'name': 'submit', 'order': '62', 'text': 'Submit', 'type': 'control_button'}",30,"{'maxValue': '', 'name': 'aluFiller', 'order': '48', 'text': 'Alu Filler 3.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'aluFiller54', 'order': '49', 'text': 'Alu Filler 3.2  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller55', 'order': '50', 'text': 'MS Filler 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller56', 'order': '51', 'text': 'MS Filler 2.4  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss24', 'order': '52', 'text': 'Weld/308/SS 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss2458', 'order': '53', 'text': 'Weld/308/SS 2.4  Quantity to Refill', 'type': 'control_number'}",Marz,"{'maxValue': '', 'name': 'weldwire12', 'order': '54', 'text': 'Weldwire 1.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weldwire1261', 'order': '55', 'text': 'Weldwire 1.2  Quantity to Refill', 'type': 'control_number'}",10,0,6,0,2,0,2,0,2,0
6524693546415146353,2026-04-20 00:42:35,"{'name': 'heading', 'order': '1', 'text': 'Consumables On Floor / Boilermakers  ', 'type': 'control_head'}",RAM 03,Godwin,12,10,2,"{""day"": ""20"", ""month"": ""04"", ""year"": ""2026"", ""timeInput"": ""06:40"", ""hour"": ""06"", ""min"": ""40"", ""ampm"": ""AM"", ""datetime"": ""2026-04-20 06:40:00""}",10,12,0,6,2,50,100,11,1,12,0,12,0,11,0,11,0,6,0,6,0,2,0,2,0,2,0,50,0,100,0,100,0,https://www.jotform.com/uploads/Woolley_Brandon/260621145322041/6524693546415146353/6524693546415146353_signature_50.png,"{'name': 'submit', 'order': '62', 'text': 'Submit', 'type': 'control_button'}",30,"{'maxValue': '', 'name': 'aluFiller', 'order': '48', 'text': 'Alu Filler 3.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'aluFiller54', 'order': '49', 'text': 'Alu Filler 3.2  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller55', 'order': '50', 'text': 'MS Filler 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller56', 'order': '51', 'text': 'MS Filler 2.4  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss24', 'order': '52', 'text': 'Weld/308/SS 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss2458', 'order': '53', 'text': 'Weld/308/SS 2.4  Quantity to Refill', 'type': 'control_number'}",Marz,"{'maxValue': '', 'name': 'weldwire12', 'order': '54', 'text': 'Weldwire 1.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weldwire1261', 'order': '55', 'text': 'Weldwire 1.2  Quantity to Refill', 'type': 'control_number'}",10,0,6,0,2,0,2,0,2,0
6524691836416771490,2026-04-20 00:39:43,"{'name': 'heading', 'order': '1', 'text': 'Consumables On Floor / Boilermakers  ', 'type': 'control_head'}",RAM 02,Carol,12,13,0,"{""day"": ""20"", ""month"": ""04"", ""year"": ""2026"", ""timeInput"": ""06:37"", ""hour"": ""06"", ""min"": ""37"", ""ampm"": ""AM"", ""datetime"": ""2026-04-20 06:37:00""}",10,13,0,6,2,50,100,12,0,12,0,11,1,10,0,10,0,7,0,6,0,2,0,2,0,2,0,50,0,100,0,100,0,https://www.jotform.com/uploads/Woolley_Brandon/260621145322041/6524691836416771490/6524691836416771490_signature_50.png,"{'name': 'submit', 'order': '62', 'text': 'Submit', 'type': 'control_button'}",30,"{'maxValue': '', 'name': 'aluFiller', 'order': '48', 'text': 'Alu Filler 3.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'aluFiller54', 'order': '49', 'text': 'Alu Filler 3.2  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller55', 'order': '50', 'text': 'MS Filler 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller56', 'order': '51', 'text': 'MS Filler 2.4  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss24', 'order': '52', 'text': 'Weld/308/SS 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss2458', 'order': '53', 'text': 'Weld/308/SS 2.4  Quantity to Refill', 'type': 'control_number'}",Marz,"{'maxValue': '', 'name': 'weldwire12', 'order': '54', 'text': 'Weldwire 1.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weldwire1261', 'order': '55', 'text': 'Weldwire 1.2  Quantity to Refill', 'type': 'control_number'}",10,0,6,0,2,0,2,0,2,0
6524690276419735797,2026-04-20 00:37:07,"{'name': 'heading', 'order': '1', 'text': 'Consumables On Floor / Boilermakers  ', 'type': 'control_head'}",RAM 01,Romè Moodie,12,13,0,"{""day"": ""20"", ""month"": ""04"", ""year"": ""2026"", ""timeInput"": ""06:34"", ""hour"": ""06"", ""min"": ""34"", ""ampm"": ""AM"", ""datetime"": ""2026-04-20 06:34:00""}",10,12,0,6,2,50,100,12,0,12,0,13,0,10,0,10,0,6,0,7,0,2,0,2,0,2,0,50,0,100,0,100,0,https://www.jotform.com/uploads/Woolley_Brandon/260621145322041/6524690276419735797/6524690276419735797_signature_50.png,"{'name': 'submit', 'order': '62', 'text': 'Submit', 'type': 'control_button'}",30,"{'maxValue': '', 'name': 'aluFiller', 'order': '48', 'text': 'Alu Filler 3.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'aluFiller54', 'order': '49', 'text': 'Alu Filler 3.2  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller55', 'order': '50', 'text': 'MS Filler 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller56', 'order': '51', 'text': 'MS Filler 2.4  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss24', 'order': '52', 'text': 'Weld/308/SS 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss2458', 'order': '53', 'text': 'Weld/308/SS 2.4  Quantity to Refill', 'type': 'control_number'}",Marz,"{'maxValue': '', 'name': 'weldwire12', 'order': '54', 'text': 'Weldwire 1.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weldwire1261', 'order': '55', 'text': 'Weldwire 1.2  Quantity to Refill', 'type': 'control_number'}",10,0,6,0,1,1,2,0,2,0
6523302625201832998,2026-04-18 10:04:22,"{'name': 'heading', 'order': '1', 'text': 'Consumables On Floor / Boilermakers  ', 'type': 'control_head'}",RAM 04,Wandile,12,0,12,"{""day"": ""18"", ""month"": ""04"", ""year"": ""2026"", ""timeInput"": ""04:03"", ""hour"": ""04"", ""min"": ""03"", ""ampm"": ""PM"", ""datetime"": ""2026-04-18 16:03:00""}",10,0,12,6,2,50,100,0,12,0,12,0,12,0,10,0,10,0,6,0,6,0,2,0,2,0,2,0,50,0,100,0,100,https://www.jotform.com/uploads/Woolley_Brandon/260621145322041/6523302625201832998/6523302625201832998_signature_50.png,"{'name': 'submit', 'order': '62', 'text': 'Submit', 'type': 'control_button'}",30,"{'maxValue': '', 'name': 'aluFiller', 'order': '48', 'text': 'Alu Filler 3.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'aluFiller54', 'order': '49', 'text': 'Alu Filler 3.2  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller55', 'order': '50', 'text': 'MS Filler 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'msFiller56', 'order': '51', 'text': 'MS Filler 2.4  Quantity to Refill', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss24', 'order': '52', 'text': 'Weld/308/SS 2.4 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weld308ss2458', 'order': '53', 'text': 'Weld/308/SS 2.4  Quantity to Refill', 'type': 'control_number'}","{""other"": ""Brandon""}","{'maxValue': '', 'name': 'weldwire12', 'order': '54', 'text': 'Weldwire 1.2 Stock on Hand ', 'type': 'control_number'}","{'maxValue': '', 'name': 'weldwire1261', 'order': '55', 'text': 'Weldwire 1.2  Quantity to Refill', 'type': 'control_number'}",9,1,00,6,0,2,0,2,0,2
6522115285201240547,2026-04-17 01:05:28,"{'name': 'heading', 'order': '1', 'text': 'Consumables On Floor / Boilermakers  ', 'type': 'control_head'}","{'name': 'toolBox', 'order': '4', 'text': 'Tool Box Number ', 'type': 'control_dropdown'}",Bernie,12,12,0,"{""day"": ""17"", ""month"": ""04"", ""year"": ""2026"", ""timeInput"": ""07:00"", ""hour"": ""07"", ""min"": ""00"", ""ampm"": ""AM"", ""datetime"": ""2026-04-17 07:00:00""}",10,12,0,6,2,50,100,13,0,13,0,10,2,10,0,10,0,7,0,7,0,2,0,2,0,2,0,35,15,100,0,100,0,https://www.jotform.com/uploads/Woolley_Brandon/260621145322041/6522115285201240547/6522115285201240547_signature_50.png,"{'name': 'submit', 'order': '62', 'text': 'Submit', 'type': 'control_button'}",30,50,0,155,0,155,0,Marz,0,2,10,0,6,0,2,0,2,0,2,0
